attendance,away_final_score,away_team,date,g_id,home_final_score,home_team,umpire_1B,umpire_2B,umpire_3B,umpire_HP,venue_name,weather,wind
35055.0,3.0,sln,2015-04-05,201500001,0.0,chn,Mark Wegner,Marty Foster,Mike Muchlinski,Mike Winters,Wrigley Field,"44 degrees, clear","7 mph, In from CF"
45909.0,1.0,ana,2015-04-06,201500002,4.0,sea,Ron Kulpa,Brian Knight,Vic Carapazza,Larry Vanover,Safeco Field,"54 degrees, cloudy","1 mph, Varies"
36969.0,2.0,atl,2015-04-06,201500003,1.0,mia,Laz Diaz,Chris Guccione,Cory Blaser,Jeff Nelson,Marlins Park,"80 degrees, partly cloudy","16 mph, In from CF"
31042.0,6.0,bal,2015-04-06,201500004,2.0,tba,Ed Hickox,Paul Nauert,Mike Estabrook,Dana DeMuth,Tropicana Field,"72 degrees, dome","0 mph, None"
45549.0,8.0,bos,2015-04-06,201500005,0.0,phi,Phil Cuzzi,Tony Randazzo,Will Little,Gerry Davis,Citizens Bank Park,"71 degrees, partly cloudy","11 mph, Out to RF"
40085.0,1.0,cha,2015-04-06,201500006,10.0,kca,Hunter Wendelstedt,Bob Davidson,David Rackley,Jerry Layne,Kauffman Stadium,"59 degrees, drizzle","6 mph, R to L"
43753.0,0.0,cle,2015-04-06,201500007,2.0,hou,Angel Hernandez,Scott Barry,Chris Conroy,Ted Barrett,Minute Maid Park,"79 degrees, partly cloudy","14 mph, Out to LF"
46032.0,10.0,col,2015-04-06,201500008,0.0,mil,Dan Iassogna,CB Bucknor,Lance Barrett,Dale Scott,Miller Park,"70 degrees, roof closed","0 mph, None"
45030.0,0.0,min,2015-04-06,201500009,4.0,det,Kerwin Danley,Lance Barksdale,D.J. Reyburn,Joe West,Comerica Park,"52 degrees, partly cloudy","5 mph, R to L"
42295.0,3.0,nyn,2015-04-06,201500010,1.0,was,Tim Timmons,Chris Segal,Todd Tichenor,Tim Welke,Nationals Park,"76 degrees, sunny","14 mph, Out to CF"
43633.0,2.0,pit,2015-04-06,201500011,5.0,cin,Sam Holbrook,Bill Welke,James Hoye,John Hirschbeck,Great American Ball Park,"68 degrees, overcast","15 mph, Out to LF"
53518.0,3.0,sdn,2015-04-06,201500012,6.0,lan,Mark Carlson,Mike DiMuro,Tripp Gibson III,Brian Gorman,Dodger Stadium,"65 degrees, partly cloudy","1 mph, Varies"
49043.0,5.0,sfn,2015-04-06,201500013,4.0,ari,Eric Cooper,Rob Drake,Quinn Wolcott,Gary Cederstrom,Chase Field,"81 degrees, clear","7 mph, L to R"
36067.0,0.0,tex,2015-04-06,201500014,8.0,oak,Doug Eddings,Jim Wolf,Adam Hamari,Bill Miller,O.co Coliseum,"56 degrees, cloudy","17 mph, Out to RF"
48469.0,6.0,tor,2015-04-06,201500015,1.0,nya,Jim Reynolds,Jerry Meals,Paul Schrieber,Fieldin Culbreth,Yankee Stadium,"54 degrees, partly cloudy","5 mph, R to L"
26545.0,2.0,ana,2015-04-07,201500016,0.0,sea,Brian Knight,Vic Carapazza,Larry Vanover,Ron Kulpa,Safeco Field,"56 degrees, partly cloudy","3 mph, Out to RF"
